code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002619,巨龙管业,水泥,浙江,115.19,28157.48,80002.1,370231.06,89851.06,32955.6,263758.91,3.3,0.036,4.04,4.08,20110929
603968,醋化股份,化工原料,江苏,73.58,13660.0,20448.0,155426.48,88048.13,53533.93,39697.4,1.94,0.093,5.4,5.08,20150518
601677,明泰铝业,铝,河南,37.77,40770.23,48275.6,568038.94,363619.41,130832.47,217338.13,4.5,0.11,7.59,2.09,20110919
002076,雪 莱 特,家用电器,广东,322.3,20121.25,36715.98,140247.0,80371.65,27659.0,51206.4,1.39,0.014,2.7,6.79,20061025
002547,春兴精工,通信设备,江苏,74.5,68443.45,101197.82,346395.19,205413.69,101535.82,47225.01,0.47,0.04,1.87,6.38,20110218
600070,浙江富润,纺织,浙江,988.05,35661.3,35661.3,201901.66,74658.09,41952.93,3291.73,0.09,0.004,2.47,6.47,19970604
600869,智慧能源,电气设备,青海,66.09,198008.67,208298.91,1277899.63,819862.69,212057.47,103643.68,0.5,0.042,2.04,5.4,19950206
600365,通葡股份,红黄药酒,吉林,717.83,40000.0,40000.0,98270.05,67161.65,12568.61,54790.86,1.37,0.01,1.72,8.15,20010115
002435,长江润发,机械基件,江苏,165.18,17897.33,19800.0,145264.52,76388.67,38613.15,42608.17,2.15,0.029,4.48,4.33,20100618
600029,南方航空,空运,广东,6.86,702265.0,981756.69,18647300.0,1265300.0,14219400.0,1433600.0,1.46,0.273,4.24,1.77,20030725
600500,中化国际,商贸代理,上海,75.47,172312.45,208301.27,4597185.0,2100683.25,941595.63,444159.94,2.13,0.032,5.47,1.79,20000301
600531,豫光金铅,铅锌,河南,72.36,88575.22,88575.22,752467.81,484657.0,211474.63,17624.9,0.2,0.035,1.58,6.35,20020730
002678,珠江钢琴,文教休闲,广东,73.94,95334.39,95600.0,250680.09,147458.98,55205.67,31810.0,0.33,0.045,2.05,6.48,20120530
600021,上海电力,火力发电,上海,17.84,213973.92,213973.92,5439209.5,1014704.81,2855773.75,420771.41,1.97,0.156,4.94,2.25,20031029
